Node;X;Y;LABEL
A;749;346;Paradero_Estudiantes
B;759;241;Paradero_Estudiantes
C;741;226;Paradero_Estudiantes
D;616;183;Paradero_Estudiantes
E;531;152;Paradero_Estudiantes
F;416;110;Paradero_Estudiantes
G;340;79;Paradero_Estudiantes
H;228;38;Paradero_Estudiantes
I;153;10;Paradero_Estudiantes
Q;103;78;Paradero_Estudiantes
P;201;116;Paradero_Estudiantes
O;312;155;Paradero_Estudiantes
N;389;183;Paradero_Estudiantes
L;505;230;Paradero_Estudiantes
K;580;261;Paradero_Estudiantes
J;660;289;Paradero_Estudiantes
R;522;401;Paradero_Estudiantes
S;474;339;Paradero_Estudiantes
T;431;288;Paradero_Estudiantes
U;362;259;Paradero_Estudiantes
V;286;231;Paradero_Estudiantes
W;174;188;Paradero_Estudiantes
X;52;141;Paradero_Estudiantes
H2;30;179;Paradero_Estudiantes
G2;160;262;Paradero_Estudiantes
F2;253;323;Paradero_Estudiantes
I2;310;388;Paradero_Estudiantes
C2;331;371;Paradero_Estudiantes
B2;379;331;Paradero_Estudiantes
A2;386;360;Paradero_Estudiantes
Z;412;393;Paradero_Estudiantes
Y;459;454;Paradero_Estudiantes
D2;357;530;Paradero_Estudiantes
J2;336;496;Paradero_Estudiantes
E2;331;453;Paradero_Estudiantes
